"game_type","week","away_team","home_team","away_wins","home_wins","ties","result","games_played","away_percentage","home_percentage"
"REG",1,"ARI","WAS",571,663,0,1.12479740680713,1234,0.462722852512156,0.537277147487844
"REG",1,"BUF","NYJ",985,249,0,-10.5948136142626,1234,0.798217179902755,0.201782820097245
"REG",1,"CAR","ATL",608,626,0,0.303079416531605,1234,0.492706645056726,0.507293354943274
"REG",1,"CIN","CLE",588,646,0,0.405186385737439,1234,0.476499189627229,0.523500810372772
"REG",1,"DAL","NYG",697,537,0,-2.76661264181524,1234,0.56482982171799,0.43517017828201
"REG",1,"DET","KC",286,948,0,9.57293354943274,1234,0.231766612641815,0.768233387358185
"REG",1,"GB","CHI",770,464,0,-4.23987034035656,1234,0.623987034035656,0.376012965964344
"REG",1,"HOU","BAL",332,902,0,8.18881685575365,1234,0.26904376012966,0.73095623987034
"REG",1,"JAX","IND",378,856,0,6.82495948136143,1234,0.306320907617504,0.693679092382496
"REG",1,"LA","SEA",714,520,0,-2.90113452188006,1234,0.578606158833063,0.421393841166937
"REG",1,"LV","DEN",544,690,0,2.25931928687196,1234,0.440842787682334,0.559157212317666
"REG",1,"MIA","LAC",529,705,0,2.22204213938412,1234,0.428687196110211,0.571312803889789
"REG",1,"PHI","NE",646,588,0,-1.05672609400324,1234,0.523500810372772,0.476499189627229
"REG",1,"SF","PIT",684,550,0,-1.37844408427877,1234,0.554294975688817,0.445705024311183
"REG",1,"TB","MIN",738,496,0,-2.70907617504052,1234,0.59805510534846,0.40194489465154
"REG",1,"TEN","NO",587,647,0,0.509724473257699,1234,0.475688816855754,0.524311183144246
"REG",2,"BAL","CIN",630,604,0,-0.388978930307942,1234,0.510534846029173,0.489465153970827
"REG",2,"CHI","TB",289,945,0,9.12722852512156,1234,0.23419773095624,0.76580226904376
"REG",2,"CLE","PIT",622,612,0,0.102106969205835,1234,0.504051863857374,0.495948136142626
"REG",2,"GB","ATL",846,388,0,-6.53889789303079,1234,0.685575364667747,0.314424635332253
"REG",2,"IND","HOU",817,417,0,-5.90923824959481,1234,0.662074554294976,0.337925445705024
"REG",2,"KC","JAX",916,318,0,-9.03403565640195,1234,0.742301458670989,0.257698541329011
"REG",2,"LAC","TEN",633,601,0,-0.36385737439222,1234,0.512965964343598,0.487034035656402
"REG",2,"LV","BUF",395,839,0,6.60696920583468,1234,0.320097244732577,0.679902755267423
"REG",2,"MIA","NE",634,600,0,-0.580226904376013,1234,0.513776337115073,0.486223662884927
"REG",2,"MIN","PHI",622,612,0,-0.228525121555916,1234,0.504051863857374,0.495948136142626
"REG",2,"NO","CAR",750,484,0,-3.57536466774716,1234,0.607779578606159,0.392220421393841
"REG",2,"NYG","ARI",522,712,0,2.90194489465154,1234,0.423014586709887,0.576985413290113
"REG",2,"NYJ","DAL",351,883,0,7.82982171799028,1234,0.284440842787682,0.715559157212318
"REG",2,"SEA","DET",633,601,0,-0.611831442463533,1234,0.512965964343598,0.487034035656402
"REG",2,"SF","LA",569,665,0,1.27633711507293,1234,0.461102106969206,0.538897893030794
"REG",2,"WAS","DEN",534,700,0,2.14343598055105,1234,0.432739059967585,0.567260940032415
"REG",3,"ATL","DET",574,660,0,1.73662884927066,1234,0.46515397082658,0.53484602917342
"REG",3,"BUF","WAS",829,405,0,-5.9708265802269,1234,0.671799027552674,0.328200972447326
"REG",3,"CAR","SEA",554,680,0,1.88492706645057,1234,0.448946515397083,0.551053484602917
"REG",3,"CHI","KC",354,880,0,7.93435980551053,1234,0.286871961102107,0.713128038897893
"REG",3,"DAL","ARI",661,573,0,-1.42220421393841,1234,0.535656401944895,0.464343598055105
"REG",3,"DEN","MIA",547,687,0,1.49270664505673,1234,0.443273905996759,0.556726094003241
"REG",3,"HOU","JAX",589,645,0,1.04213938411669,1234,0.477309562398703,0.522690437601297
"REG",3,"IND","BAL",515,719,0,2.11507293354943,1234,0.417341977309562,0.582658022690438
"REG",3,"LA","CIN",607,627,0,0.086709886547812,1234,0.491896272285251,0.508103727714749
"REG",3,"LAC","MIN",557,677,0,1.70502431118314,1234,0.451377633711507,0.548622366288493
"REG",3,"NE","NYJ",756,478,0,-4.16693679092382,1234,0.612641815235008,0.387358184764992
"REG",3,"NO","GB",494,740,0,2.854943273906,1234,0.40032414910859,0.59967585089141
"REG",3,"NYG","SF",461,773,0,4.41004862236629,1234,0.373581847649919,0.626418152350081
"REG",3,"PHI","TB",465,769,0,4.06807131280389,1234,0.376823338735818,0.623176661264181
"REG",3,"PIT","LV",602,632,0,0.10129659643436,1234,0.487844408427877,0.512155591572123
"REG",3,"TEN","CLE",611,623,0,-0.0794165316045381,1234,0.495137763371151,0.504862236628849
"REG",4,"ARI","SF",489,745,0,4.12398703403566,1234,0.396272285251216,0.603727714748784
"REG",4,"ATL","JAX",625,609,0,0.43354943273906,1234,0.506482982171799,0.493517017828201
"REG",4,"BAL","CLE",691,543,0,-1.49432739059968,1234,0.559967585089141,0.440032414910859
"REG",4,"CIN","TEN",615,619,0,0.352512155591572,1234,0.49837925445705,0.50162074554295
"REG",4,"DEN","CHI",712,522,0,-2.35656401944895,1234,0.576985413290113,0.423014586709887
"REG",4,"DET","GB",370,864,0,7.1385737439222,1234,0.299837925445705,0.700162074554295
"REG",4,"KC","NYJ",949,285,0,-9.83711507293355,1234,0.76904376012966,0.23095623987034
"REG",4,"LA","IND",603,631,0,0.170988654781199,1234,0.488654781199352,0.511345218800648
"REG",4,"LV","LAC",494,740,0,3.60696920583468,1234,0.40032414910859,0.59967585089141
"REG",4,"MIA","BUF",450,784,0,4.77876823338736,1234,0.364667747163695,0.635332252836305
"REG",4,"MIN","CAR",814,420,0,-5.49513776337115,1234,0.659643435980551,0.340356564019449
"REG",4,"NE","DAL",545,689,0,2.06239870340357,1234,0.441653160453809,0.558346839546191
"REG",4,"PIT","HOU",756,478,0,-3.53484602917342,1234,0.612641815235008,0.387358184764992
"REG",4,"SEA","NYG",571,663,0,1.05753646677472,1234,0.462722852512156,0.537277147487844
"REG",4,"TB","NO",731,503,0,-3.39465153970827,1234,0.592382495948136,0.407617504051864
"REG",4,"WAS","PHI",530,704,0,2.63128038897893,1234,0.429497568881686,0.570502431118314
"REG",5,"BAL","PIT",710,524,0,-2.56726094003242,1234,0.575364667747164,0.424635332252836
"REG",5,"CAR","DET",563,671,0,1.6742301458671,1234,0.456239870340357,0.543760129659643
